x,y,gid,Name,description
"-46,5837877","-23,5317879",1,Coleta de Óleo - Cooperativa Tietê,"Av. Salim Maluf, 179 - Tatuapé. Tel.: 3360-0856. <br>Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6365974","-23,5216698",2,Coleta de Óleo - Coopere-Centro ,"Av. do Estado, 300 - Bom Retiro. Tel.: 3326-4512 / 3313-6350. Funcionamento: de segunda a sexta, das 8h às 16h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7321464","-23,5313386",3,Coleta de Óleo - Cooperação,"Cooperação - Rua Frobem, 99/101 - Vila Leopoldina. Tel.: 3836-9043 / 3832-0999. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,4586255","-23,5956703",4,Coleta de Óleo - Cooperativa Cooperleste,"Cooperleste - Estrada Fazenda do Carmo, 450 - São Matheus - Tel.: 2013-2126. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6980802","-23,69323",5,Coleta de Óleo - Coopercaps,"Coopercaps - Av. João Paulo da Silva, 48 - Vila da Paz - Tel.: 5667-7937. Funcionamento: de segunda a sexta, das 8h às 18h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,4284375","-23,5034016",6,Coleta de Óleo - Nova Conquista,"Nova Conquista - Rua Cembira, 1100 - Vila Curuça. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7468951","-23,5045943",7,Coleta de Óleo - Cooperativa Crescer,"Cooperativa Crescer - Rua Joaquim Oliveira Freitas, 325 - São Domingos - Tel.: 3902-3822. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7576785","-23,4878342",8,Coleta de Óleo - Vira Lata,"Vira Lata - Av.Jornalista Paulo Zingg,1381 - V.Santa Terezinha - Tel.: 3733-3060. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,3867885","-23,4982896",9,Coleta de Óleo - Fênix Agape,"Rua Manuel Bueno da Fonseca, 503 - Jd. Camargo Novo. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7169956","-23,6399678",10,Coleta de Óleo- Cooperativa Nossos Valores,"Rua Carmo do Rio Verde, 533 - Santo Amaro. Funcionamento: de segunda a sexta, das 8h às 17h. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6456745","-23,5742432",11,Coleta de Óleo - Pão de Açúcar Abílio Soares,"R. Abílio Soares, 386 - Paraíso. Tel.: (11) 3057-1122. Funcionamento: de segunda a domingo, das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6880693","-23,5356303",12,Coleta de Óleo - Pão de Açúcar Afonso Bovero ,"Av. Prof. Alfonso Bovero, 1425 - Vila Pompeia. Tel.: (11) 3865-1648. Funcionamento: de segunda a sábado das 7h00  às 23h00 e domingo das 7h00 às 22h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6394841","-23,5813605",13,Coleta de Óleo - Pão de Açúcar Ana Rosa,"R. Domingos de Morais, 486 - Vila Mariana. Tel.: (11) 5904-8550. Funcionamento: de segunda a sábado das 6h00 às 22h00 e domingo das 7h00 às 20h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6359879","-23,6176202",14,Coleta de Óleo - Pão de Açúcar Carneiro da Cunha ,"R. Carneiro da Cunha, 494 - Saúde. Tel.: (11) 5583-0874. Funcionamento: de segunda a sábado das 7h00 às 23h00 e domingo das 7h00 às 22h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6594639","-23,5137812",15,Coleta de Óleo - Pão de Açúcar Casa Verde,"Rua Bernardino Fanganiello, 349 - Casa Verde. Tel.: (11) 3856-7611. Funcionamento: de segunda a sábado das 7h00 às 23h00 e domingo das 7h00 às 22h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,639442","-23,602551",16,Coleta de Óleo - Pão de Açúcar Vila Clementino ,"Av. Dr. Altino Arantes, 268 - Vila Clementino. Tel.: (11) 2276-8786. Funcionamento: de segunda a domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6597854","-23,6003268",17,Coleta de Óleo - Pão de Açúcar Ibirapuera ,"Av. Ibirapuera, 1770 - Indianópolis. Tel.:(11) 5051 1428. Funcionamento: de segunda a domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,666833","-23,6003911",18,Coleta de Óleo - Pão de Açúcar Lavandisca ,"Av. Lavandisca, 249 - Moema. Tel.: (11) 5052-6978. Funcionamento: de segunda a sábado das 7h00 às 23h00 e domingo das 7h00 às 22h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,682369","-23,5495608",19,Coleta de Óleo - Pão de Açúcar Sumaré ,"R. Heitor Penteado, 250 - Sumaré. Tel.: (11) 3672-3103. Funcionamento: de segunda a sábado, 24 horas no domingo - fechado. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7087273","-23,5525674",20,Coleta de Óleo - Pão de Açúcar Praça Panamericana ,"Praça Panamericana, 217 - Alto de Pinheiros. Tel.: (11) 3021-8632. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6909566","-23,6301778",21,Coleta de Óleo - Pão de Açúcar Borba Gato ,"Viaduto Santo Amaro, 5460 - Santo Amaro. Tel :5189-9999. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6771634","-23,5925301",22,Coleta de Óleo - Pão de Açúcar Clodomiro Amazonas,"R. Clodomiro Amazonas, 955 - Vila Nova Conceição. Tel :  3849-7928. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6370238","-23,5019176",23,Coleta de Óleo - Pão de Açúcar - Dr. César,"R. Dr. César, 1234 - Santana. Tel.: (11) 2971-1215. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6494289","-23,616977",24,Coleta de Óleo - Pão de Açúcar Guatás,"Alameda dos Guatás, 1261 - Saúde. Tel.: (11) 2276-0020. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,680959","-23,5717114",25,Coleta de Óleo - Pão de Açúcar - Jardim Paulistano,"Alameda Gabriel Monteiro da Silva, 1351 - Jardim Paulistano. Tel: 3082-9562. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade"
"-46,6704828","-23,5828632",26,Coleta de Óleo - Pão de Açúcar - Joaquim Floriano ,"R. Joaquim Floriano, 22 - Itaim Bibi. Tel: 30712767. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7219312","-23,5861405",27,Coleta de Óleo - Pão de Açúcar Morumbi,"Avenida Professor Francisco Morato, 2385 - Vila Progredior. Tel: 3721-9122.  Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6216438","-23,4881806",28,Coleta de Óleo - Pão de Açúcar - Nova Cantareira,"Av. Nova Cantareira, 240-248 - Jardim Sao Paulo.Tel: 29723949. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6409582","-23,5626587",29,Coleta de Óleo - Pão de Açúcar - Pedroso,"R. Pedroso, 215 - Bela Vista, São Paulo. Tel: 32841080. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,6741119","-23,5612847",30,Coleta de Óleo - Pão de Açúcar - Rebouças,"R. Alves Guimarães, 50 - Pinheiros. Tel : 30625278. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade"
"-46,6506841","-23,6029041",31,Coleta de Óleo - Pão de Açúcar - Rubem Berta,"R. Santa Generosa, 80 - Indianópolis. Tel :  55891133. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade"
"-46,6320943","-23,4889495",32,Coleta de Óleo - Pão de Açúcar - Augusto Tolle ,"Rua Augusto Tolle, 470 - Santana. Tel : 29501824. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7289808","-23,6339865",33,Coleta de Óleo - Pão de Açúcar Panamby,"R. José Ramon Urtiza, 1000 - Vila Andrade. Tel : 37767720. Funcionamento: de segunda a sábado das 7h00 às 00h00 e domingo das 7h00 às 23h00. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
"-46,7380966","-23,6485684",34,Coleta de Óleo - Espaço Comunidade,"Rua Domingos Marques, 104 - Jardim Monte Azul. Funcionamento: Horário comercial. Te.: (11) 98192-6297. O óleo de cozinha para ser reciclado pode ser entregue em qualquer recipiente e quantidade."
